Job Color,Job Name,Actual Start,Contract Price,Job Running Total,Project Manager,Proj. Completion,Groups,Status,Job Type
,PHLLS,,0.0,0.0,,,On Hold,CLOSED,Other - Residential Remodeler
,PHLP 2020,44271.0,2208670.42,2423589.33,Mike Scott,44758.0,"Construction
Use for AI",CLOSED,Custom New Home
,PRCE 2014,41473.0,1388822.21,1388822.21,,,Warranty,CLOSED,New Homes
,PRNG 2021 - Design,,6901600.78,6901600.78,Jason Hebert,46507.0,Design,CLOSED,Custom New Home
,PRTN 2017,42863.0,950000.0,950000.0,Jason Hebert,,Design,CLOSED,New Homes
,PSCA 2021,44470.0,0.0,0.0,Jason Hebert,,On Hold,CLOSED,Custom New Home
,PSCC 2017,43066.0,0.0,57063.86,"Selections Coordinator
Travis Ross",,Warranty,CLOSED,Other - Residential Remodeler
,PSCH 2014,41582.0,748886.14,748886.14,Skyler North,,Warranty,CLOSED,New Homes
,PTTS 2019,,0.0,0.0,Travis Ross,,Warranty,CLOSED,Other - Residential Remodeler
,PUGH 2016,42632.0,1289263.27,1342336.27,,43007.0,Warranty,CLOSED,New Homes
,PWLL 2017,43537.0,2692969.66,3795358.82,"Colt Cook
Alex Tackes",44092.0,Construction,CLOSED,New Homes
,RAJA 2015,,859233.59,860676.87,Jason Hebert,,On Hold,CLOSED,New Homes
,RAPP 2016,,400000.0,400000.0,Skyler North,,Warranty,CLOSED,Renovation/Tenant Improvements
,RDRG 2025-Furnishings,,0.0,0.0,"Skyler North
Alex Tackes",,Remodel,OPEN,Other - Residential Remodeler
,RDRG 2025-Remodel,,466245.0,518852.73,"Skyler North
Alex Tackes",,Remodel,OPEN,Other - Residential Remodeler
,RHPH 2016,42408.0,1102220.0,1096240.28,Denny Berger,42839.0,Completed,CLOSED,New Homes
,RJSH 2019,43969.0,2341206.24,2525129.94,Ben Davis,44386.0,"Warranty
Use for AI",CLOSED,Custom New Home
,RNNR 2025 - Design,,0.0,0.0,,,Design,CLOSED,Custom New Home
,RNNR 2025 - Interior Design Schedule Only,,0.0,0.0,,,,CLOSED,Custom New Home
,ROUS 2021,44697.0,3527865.94,3789395.04,"Marisa Killian
Mike Scott",45243.0,"Warranty
Use for AI",WARRANTY,Custom New Home
,RSNT 2017,43654.0,6313161.49,7348636.14,Brian Edelmon,44372.0,Construction,CLOSED,New Homes
,RYNL 2019,43668.0,2792345.62,2897841.77,Jason Hebert,,"Warranty
Use for AI",CLOSED,New Homes
,RYNL 2021,44480.0,0.0,0.0,Jason Hebert,,On Hold,CLOSED,Custom New Home
,SALH2019,43451.0,1000000.0,1000000.0,Jason Hebert,,Completed,CLOSED,Custom New Home
,SCHR 2021,44200.0,0.0,0.0,Jason Hebert,,Design,CLOSED,Custom New Home
,SCMT 2016,,1750000.0,1787064.0,Jason Hebert,43335.0,Design,CLOSED,New Homes
,SEDN 2021,44410.0,0.0,0.0,Jason Hebert,,On Hold,CLOSED,Custom New Home
,SHFR 2013,42397.0,871964.97,887444.74,Travis Ross,42762.0,Warranty,CLOSED,New Homes
,SLDN 2024 - Design,,0.0,0.0,,,Design,OPEN,Custom New Home
,SMTH 2017,43347.0,3482036.08,5233630.54,Colt Cook,44099.0,Warranty,CLOSED,New Homes
,SMTH 2023,45250.0,0.0,0.0,,,,WARRANTY,Other - Residential Remodeler
,SMTH 2026 - Design,,0.0,0.0,,,,OPEN,Renovation/Tenant Improvements
,SP-BSTN 2026,,0.0,14612.0,,,Small Project,OPEN,Renovation/Tenant Improvements
,SP-HUFF 2026,,0.0,37412.18,,,Small Project,OPEN,Renovation/Tenant Improvements
,SP-JDBO 2024,,0.0,0.0,Robert Brolin,,,OPEN,Renovation/Tenant Improvements
,SP-LHEC 2025,,0.0,43275.0,"Ben Davis
Christian Barajas",,Maintenance,OPEN,Custom New Home
,SP-NSMT 2024,,0.0,82784.44,,,Small Project,CLOSED,Renovation/Tenant Improvements
,SP-OXFR 2025,,0.0,0.0,,,Small Project,OPEN,Renovation/Tenant Improvements
,SP-TJOS 2024,,0.0,27785.22,,,Small Project,OPEN,Renovation/Tenant Improvements
,SP-WRNR,45807.0,0.0,0.0,"Denny Berger
Skyler North",,"Remodel
Small Project",OPEN,Renovation/Tenant Improvements
,SWSK 2019,43682.0,180000.0,180000.0,Jason Hebert,,Design,CLOSED,Renovation/Tenant Improvements
,SYLV 2026 - Design,,0.0,0.0,,,,OPEN,Custom New Home
,TEST Maintanence,45460.0,0.0,0.0,"Ben Davis
Christian Barajas",,Warranty,OPEN,Custom New Home
,TEST Wilson,45327.0,23222129.85,23222377.6,Skyler North,45382.0,"Design
Construction
Design Build",OPEN,Custom New Home
,THMP 2021,44613.0,8219251.26,9353757.52,Bryan Kinney,45187.0,"Warranty
Use for AI",WARRANTY,Custom New Home
,TJOS 2022,44593.0,500000.0,500000.0,Truitt Jenkins,,"Warranty
Remodel",WARRANTY,Other - Residential Remodeler
,TJOS-INS 2025,45938.0,0.0,0.0,,45981.0,Small Project,OPEN,Other - Residential Remodeler
,TNDL 2013,,856320.63,856320.63,,,Completed,CLOSED,New Homes
,TRNT 2021,44915.0,1990895.35,2013345.47,"Travis Ross
Michael Cartwright",45455.0,"Warranty
Use for AI",WARRANTY,Custom New Home
,VNBK Repair 2017,,0.0,0.0,Travis Ross,,Warranty,CLOSED,New Homes
,VNBL,,0.0,0.0,,,Completed,CLOSED,New Homes
,Warehouse,,0.0,0.0,Dusty Braswell,,,OPEN,Custom New Home
,Warranty,,0.0,20995.5,Denny Berger,,"Warranty
Use for AI",OPEN,New Homes
,WGNR 2020,44137.0,0.0,0.0,Jason Hebert,,Design,CLOSED,Custom New Home
,WILM Repair 2017,,0.0,0.0,Travis Ross,,Warranty,CLOSED,Renovation/Tenant Improvements
,WLCX 2019,44096.0,2004801.79,2151186.08,"Michael Cartwright
Alex Tackes",,Warranty,CLOSED,Custom New Home
,WLMS,,0.0,0.0,,,,CLOSED,New Homes
,WLSH 2012,,0.0,0.0,,,Completed,CLOSED,New Homes
,WRNR 2013,,0.0,0.0,,,Warranty,CLOSED,New Homes
,WTRB 2012,,0.0,0.0,,,Completed,CLOSED,New Homes
,X-Design Schedule,,0.0,0.0,,,,OPEN,Other - Residential Remodeler
,YNG 2018,43129.0,850000.0,850000.0,Jason Hebert,,Design,CLOSED,Custom New Home
,ZEY 2016,42592.0,767193.0,804913.9,Rene Sepulveda,42944.0,"Warranty
Completed",CLOSED,New Homes
,ZMPL Residence,42278.0,1834500.0,1834500.0,Shan Jenkins,,,CLOSED,New Homes
